ID,GU,resi_y,resi_m,q1,q2,q3,q3_1_1,q3_1_2,q3_1_3,q4,q5_1,q5_2,q5_3,q5_4,q5_5,q6,q6_op,q7,q8,q9,q9_1,q9_2,q9_2_op,q3_3_1,q3_3_2,q3_3_3,q3_3_4,q3_3_5,q3_3_6,q3_3_7,q3_3_8,q3_3_9,q3_3_10,q3_3_11,q3_3_12,q3_3_13,q3_3_14,q3_3_15,q3_3_16,q3_3_16_op,q9_4,q9_5,q9_5_op,q10,q10_op,q11_1,q11_1_op,q11_2,q11_2_op,q12,q13,q13_1,q13_2,q14,q14_op,q15,q15_op,q16,q16_op,q17,q17_op,q18,q19,q20,q21_op,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9_1,DM9_2,DM9_3,DM9_4,DM10,DM11,DM12,DM12_op,DM13,DM14,DM14_op,DM15,wg,ws
482,2,15.0,2.0,5.0,6.0,5.0,5.0,3.0,1.0,1.0,6.0,6.0,5.0,6.0,5.0,4.0,,6.0,1.0,2.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,60.0,3.0,,,,2.0,,3.0,,2.0,1.0,3.0,50.0,3.0,,1.0,,2.0,,1.0,,1.0,1.0,3.0,,1,54,2.0,4.0,8.0,1.0,1.0,4.0,3.0,4.0,5.0,6.0,1.0,1.0,2.0,,6.0,1.0,,2.0,681.48,1.1965
483,4,9.0,2.0,4.0,5.0,5.0,2.0,1.0,8.0,2.0,6.0,5.0,6.0,5.0,5.0,5.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,4.0,,6.0,,3.0,2.0,,,3.0,,5.0,,1.0,,1.0,,2.0,2.0,3.0,,1,43,2.0,3.0,4.0,1.0,1.0,2.0,3.0,,,,1.0,1.0,3.0,,9.0,1.0,,1.0,545.63,0.958
484,2,5.0,9.0,7.0,6.0,5.0,1.0,2.0,3.0,1.0,6.0,7.0,6.0,6.0,7.0,3.0,,6.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,4.0,,3.0,2.0,,,3.0,,2.0,,1.0,,2.0,,1.0,2.0,3.0,,1,41,2.0,3.0,3.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,3.0,,7.0,3.0,,2.0,499.88,0.8777
485,2,6.0,10.0,6.0,5.0,7.0,3.0,7.0,4.0,2.0,6.0,6.0,6.0,5.0,5.0,4.0,,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,6.0,,5.0,,3.0,2.0,,,2.0,,4.0,,2.0,,2.0,,1.0,2.0,3.0,소비심리가 회복되어. 모두. 잘사는 수원시민이. 되기를. 바랍니다.,2,63,2.0,1.0,3.0,2.0,1.0,0.0,7.0,,,,3.0,,11.0,,4.0,1.0,,1.0,1207.42,2.12
486,2,3.0,0.0,2.0,3.0,4.0,,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,3.0,3.0,2.0,1.0,1.0,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,50.0,1.0,,,,2.0,,4.0,,3.0,3.0,5.0,50.0,2.0,,2.0,,1.0,,2.0,,2.0,2.0,3.0,,2,33,2.0,3.0,3.0,1.0,2.0,,,,,,1.0,1.0,2.0,,4.0,3.0,,1.0,142.72,0.2506
487,4,12.0,0.0,1.0,1.0,3.0,,,,5.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,5.0,4.0,1.0,2.0,,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,2.0,,,,1.0,,9.0,,3.0,2.0,,,3.0,,2.0,,1.0,,3.0,,2.0,2.0,6.0,,2,40,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,2.0,,3.0,,7.0,1.0,,1.0,367.24,0.6448
488,1,5.0,9.0,4.0,4.0,4.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,5.0,,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,4.0,,8.0,,3.0,2.0,,,3.0,,2.0,,2.0,,1.0,,2.0,4.0,4.0,,1,35,2.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,1.0,2.0,5.0,,3.0,3.0,,2.0,233.83,0.4106
489,1,15.0,10.0,5.0,5.0,5.0,2.0,5.0,7.0,3.0,5.0,5.0,5.0,5.0,5.0,3.0,,5.0,3.0,4.0,1.0,2.0,,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,4.0,,,,8.0,,9.0,,3.0,2.0,,,4.0,,5.0,,2.0,,5.0,,1.0,1.0,5.0,,1,58,2.0,2.0,3.0,2.0,1.0,0.0,2.0,,,,1.0,3.0,12.0,,4.0,1.0,,1.0,1022.33,1.795
490,3,2.0,0.0,5.0,6.0,3.0,,,,3.0,6.0,4.0,5.0,4.0,6.0,9.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,3.0,,2.0,2.0,,,3.0,,2.0,,1.0,,3.0,,1.0,1.0,4.0,,2,53,2.0,3.0,5.0,1.0,1.0,2.0,4.0,5.0,,,1.0,6.0,4.0,,2.0,1.0,,6.0,512.81,0.9004
491,2,10.0,2.0,5.0,5.0,5.0,3.0,5.0,7.0,2.0,5.0,5.0,5.0,5.0,5.0,1.0,,4.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,2.0,,6.0,,3.0,2.0,,,2.0,,2.0,,5.0,,2.0,,1.0,1.0,3.0,,2,19,1.0,3.0,4.0,3.0,2.0,,,,,,3.0,,10.0,,2.0,1.0,,1.0,440.24,0.773
492,4,20.0,2.0,6.0,6.0,6.0,2.0,3.0,6.0,1.0,6.0,5.0,6.0,6.0,6.0,1.0,,6.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,8.0,,4.0,,5.0,1.0,3.0,30.0,2.0,,2.0,,2.0,,1.0,,1.0,1.0,5.0,없음,2,66,2.0,1.0,2.0,3.0,1.0,2.0,7.0,,,,3.0,,11.0,,3.0,2.0,,1.0,2662.14,4.6741
493,1,7.0,5.0,6.0,5.0,6.0,3.0,4.0,7.0,3.0,4.0,6.0,6.0,6.0,7.0,7.0,,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,2.0,,5.0,,4.0,1.0,3.0,60.0,3.0,,3.0,,2.0,,3.0,,2.0,2.0,4.0,많은 관심 부탁해용,2,40,2.0,3.0,4.0,2.0,1.0,2.0,3.0,,,,2.0,,11.0,,5.0,1.0,,1.0,286.97,0.5039
494,1,6.0,10.0,6.0,6.0,6.0,1.0,3.0,5.0,2.0,6.0,6.0,5.0,6.0,6.0,4.0,,6.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,3.0,2.0,,,3.0,,2.0,,1.0,,1.0,,4.0,1.0,3.0,,2,29,2.0,3.0,3.0,1.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,276.17,0.4849
495,2,10.0,0.0,5.0,6.0,4.0,,,,3.0,4.0,4.0,3.0,4.0,4.0,6.0,,3.0,4.0,2.0,2.0,3.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,40.0,5.0,,,,1.0,,2.0,,3.0,2.0,,,3.0,,8.0,시장과 마트 모두,1.0,,1.0,,2.0,3.0,1.0,,2,33,1.0,4.0,4.0,3.0,2.0,,,,,,1.0,2.0,12.0,,9.0,1.0,,1.0,142.72,0.2506
496,2,8.0,5.0,6.0,5.0,5.0,2.0,4.0,6.0,3.0,6.0,5.0,4.0,5.0,5.0,6.0,,6.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,3.0,2.0,,,2.0,,2.0,,1.0,,2.0,,3.0,3.0,5.0,,2,29,2.0,3.0,3.0,1.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,211.0,0.3705
497,2,41.0,7.0,5.0,5.0,6.0,3.0,1.0,2.0,2.0,5.0,6.0,6.0,6.0,6.0,1.0,,6.0,2.0,1.0,1.0,2.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,100.0,2.0,,,,8.0,,1.0,,5.0,1.0,2.0,40.0,5.0,가족 외식비,2.0,,1.0,,4.0,,3.0,3.0,5.0,,2,41,2.0,2.0,3.0,2.0,1.0,1.0,5.0,,,,3.0,,11.0,,6.0,1.0,,1.0,281.02,0.4934
498,3,15.0,5.0,5.0,5.0,4.0,,,,2.0,5.0,5.0,5.0,5.0,5.0,2.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,5.0,,2.0,2.0,,,1.0,,1.0,,2.0,,2.0,,2.0,2.0,2.0,,1,49,2.0,3.0,4.0,1.0,1.0,2.0,4.0,6.0,,,1.0,1.0,3.0,,9.0,1.0,,1.0,574.83,1.0093
499,4,0.0,8.0,2.0,2.0,4.0,,,,5.0,3.0,3.0,4.0,4.0,4.0,5.0,,3.0,5.0,2.0,4.0,3.0,,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,600.0,2.0,,,,1.0,,4.0,,4.0,3.0,6.0,20.0,4.0,,2.0,,3.0,,1.0,,1.0,2.0,3.0,,2,25,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,1.0,,6.0,4.0,,2.0,411.74,0.7229
500,2,22.0,5.0,4.0,5.0,5.0,4.0,5.0,8.0,5.0,4.0,4.0,5.0,5.0,5.0,3.0,,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,6.0,,3.0,,4.0,1.0,3.0,60.0,3.0,,3.0,,1.0,,1.0,,2.0,2.0,4.0,아파트 지상주차장 의무신설화 다세대주택(빌라) 지정 분리수거장 설치,2,35,1.0,2.0,2.0,3.0,2.0,,,,,,1.0,1.0,3.0,,7.0,3.0,,1.0,175.68,0.3085
501,2,23.0,3.0,5.0,5.0,6.0,2.0,3.0,4.0,1.0,6.0,6.0,5.0,5.0,5.0,9.0,,6.0,1.0,2.0,1.0,2.0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,25.0,3.0,,,,1.0,,3.0,,4.0,1.0,3.0,70.0,2.0,,2.0,,2.0,,1.0,,1.0,1.0,2.0,,1,65,2.0,3.0,2.0,1.0,1.0,0.0,7.0,,,,1.0,1.0,4.0,,8.0,1.0,,1.0,1824.15,3.2028
502,2,5.0,6.0,3.0,6.0,4.0,,,,3.0,6.0,6.0,4.0,6.0,4.0,4.0,,6.0,3.0,2.0,1.0,2.0,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,3.0,,,,4.0,,6.0,,3.0,1.0,5.0,50.0,3.0,,2.0,,1.0,,2.0,,1.0,2.0,3.0,복지혜택,1,38,2.0,2.0,3.0,2.0,1.0,1.0,1.0,,,,1.0,1.0,9.0,,5.0,1.0,,3.0,233.75,0.4104
503,1,10.0,0.0,6.0,7.0,6.0,2.0,4.0,7.0,2.0,6.0,6.0,7.0,7.0,7.0,4.0,,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,5.0,,3.0,2.0,,,2.0,,4.0,,2.0,,1.0,,2.0,2.0,2.0,,2,82,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,3.0,3.0,,5.0,1.0,,1.0,4162.17,7.3078
504,2,5.0,10.0,6.0,6.0,6.0,3.0,1.0,5.0,4.0,6.0,6.0,6.0,5.0,6.0,4.0,,6.0,1.0,4.0,1.0,3.0,,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,30.0,2.0,,,,2.0,,4.0,,2.0,2.0,,,1.0,,2.0,,1.0,,4.0,,5.0,2.0,3.0,,2,32,1.0,3.0,3.0,1.0,1.0,1.0,3.0,,,,1.0,1.0,3.0,,5.0,1.0,,1.0,142.72,0.2506
505,1,20.0,1.0,3.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,5.0,2.0,,4.0,5.0,4.0,1.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,5.0,,,,1.0,,8.0,,3.0,2.0,,,2.0,,2.0,,2.0,,4.0,,3.0,3.0,6.0,,1,55,2.0,1.0,2.0,1.0,1.0,0.0,7.0,,,,1.0,6.0,4.0,,4.0,1.0,,1.0,1022.33,1.795
506,4,5.0,3.0,5.0,5.0,5.0,2.0,4.0,1.0,3.0,5.0,4.0,5.0,5.0,5.0,11.0,,5.0,3.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,50.0,3.0,,,,7.0,,1.0,,4.0,1.0,2.0,60.0,3.0,,1.0,,1.0,,1.0,,1.0,2.0,5.0,미취학아동 돌봄 서비스 늘리기,2,38,2.0,3.0,4.0,1.0,1.0,2.0,1.0,2.0,,,2.0,,3.0,,6.0,1.0,,2.0,266.42,0.4678
507,3,8.0,9.0,3.0,4.0,4.0,,,,5.0,5.0,4.0,4.0,4.0,3.0,10.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,8.0,,3.0,,3.0,2.0,,,3.0,,2.0,,1.0,,1.0,,2.0,2.0,5.0,,2,32,2.0,3.0,3.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,226.59,0.3978
508,4,3.0,4.0,4.0,4.0,3.0,,,,3.0,3.0,3.0,3.0,4.0,3.0,2.0,,4.0,3.0,4.0,1.0,2.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,3.0,,,,1.0,,8.0,,5.0,3.0,4.0,30.0,3.0,,2.0,,1.0,,1.0,,3.0,3.0,3.0,,1,45,2.0,3.0,5.0,1.0,1.0,2.0,3.0,4.0,,,2.0,,2.0,,6.0,1.0,,1.0,735.67,1.2917
509,1,26.0,6.0,6.0,7.0,5.0,2.0,7.0,1.0,1.0,5.0,6.0,6.0,5.0,6.0,6.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,6.0,,2.0,,4.0,2.0,,,2.0,,3.0,,5.0,,1.0,,1.0,1.0,3.0,,2,50,2.0,3.0,3.0,2.0,1.0,1.0,5.0,,,,1.0,3.0,4.0,,6.0,1.0,,2.0,564.83,0.9917
510,2,40.0,0.0,5.0,6.0,5.0,1.0,2.0,5.0,2.0,5.0,5.0,6.0,6.0,5.0,1.0,,5.0,1.0,1.0,1.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,2.0,,4.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,1.0,2.0,5.0,,1,41,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,2.0,499.88,0.8777
511,3,19.0,10.0,4.0,4.0,4.0,,,,5.0,4.0,5.0,4.0,4.0,5.0,1.0,,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,8.0,,3.0,2.0,,,2.0,,5.0,,2.0,,2.0,,3.0,3.0,5.0,,2,25,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,255.18,0.448
512,4,10.0,4.0,5.0,5.0,2.0,,,,3.0,3.0,3.0,3.0,3.0,2.0,2.0,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,6.0,,3.0,1.0,3.0,50.0,4.0,,1.0,,1.0,,1.0,,2.0,2.0,1.0,"장마철에 비가많이오거나, 겨울에 눈이 많이 쌓이면 테라스가 훼손이되거나 생활이 어려워질수있으니 테라스에 샷시를 설치해서 아파트처럼 생활의 불편함이나 위험함이 없이 안정된생활을 할수있게 건축법이 합리적이었으면 좋겠습니다.",2,61,2.0,3.0,3.0,3.0,1.0,0.0,6.0,7.0,,,3.0,,11.0,,5.0,2.0,,1.0,700.07,1.2292
513,2,40.0,0.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,5.0,6.0,5.0,5.0,6.0,1.0,,6.0,2.0,1.0,1.0,3.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,5.0,,3.0,2.0,,,2.0,,2.0,,1.0,,1.0,,2.0,2.0,5.0,,1,41,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,2.0,499.88,0.8777
514,4,3.0,0.0,4.0,5.0,5.0,2.0,4.0,6.0,2.0,6.0,5.0,6.0,6.0,6.0,1.0,,6.0,2.0,1.0,1.0,3.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,2.0,,1.0,,3.0,2.0,,,2.0,,5.0,,1.0,,1.0,,1.0,2.0,5.0,,1,35,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,1.0,3.0,,5.0,1.0,,2.0,654.55,1.1492
515,4,22.0,4.0,3.0,4.0,4.0,,,,1.0,5.0,5.0,5.0,5.0,5.0,1.0,,4.0,1.0,2.0,1.0,2.0,,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,8.0,,4.0,1.0,2.0,100.0,3.0,,2.0,,1.0,,1.0,,1.0,2.0,5.0,.,2,56,2.0,2.0,2.0,2.0,1.0,0.0,7.0,,,,3.0,,11.0,,5.0,1.0,,1.0,545.92,0.9585
516,1,9.0,9.0,5.0,5.0,5.0,9.0,7.0,8.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,3.0,1.0,1.0,2.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,1.0,,2.0,,4.0,1.0,3.0,80.0,3.0,,1.0,,1.0,,2.0,,1.0,3.0,2.0,,2,38,2.0,2.0,4.0,2.0,1.0,2.0,2.0,3.0,,,3.0,,11.0,,7.0,1.0,,1.0,267.21,0.4692
517,1,11.0,2.0,4.0,6.0,6.0,1.0,2.0,4.0,1.0,6.0,6.0,4.0,5.0,6.0,2.0,,5.0,3.0,4.0,1.0,2.0,,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,60.0,2.0,,,,2.0,,9.0,,3.0,2.0,,,3.0,,4.0,,1.0,,4.0,,1.0,1.0,6.0,수원은 서울출퇴근이용자가 많아서 광역버스 증설요구가 많았는데 어느정도 의견반영이되어진듯한 느낌도 들지만 수원의 각동네에서 다른 동으로 이동이 너무 불편하다 버스노선이 좀더 촘촘해질 필요가있고 연계가 필요하다 노선이생겨도 배차기간이 너무길면 이용안한다 수원지역의 구역별 동별 의료기관으로 대중교통 시설이 불편하니 대규모 아파트단지가 생길수록 수원의 교통대란은 뻔한데 앞으로 수원은 교통으로 관광이니 문화행사를 잘해도 아무런 이득이 없을수도,2,58,2.0,3.0,4.0,2.0,1.0,0.0,6.0,,,,3.0,,11.0,,8.0,1.0,,1.0,569.59,1.0001
518,4,5.0,0.0,5.0,5.0,6.0,2.0,5.0,7.0,3.0,4.0,3.0,3.0,3.0,4.0,8.0,,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,4.0,,2.0,1.0,2.0,70.0,2.0,,2.0,,2.0,,1.0,,2.0,3.0,3.0,,1,48,2.0,3.0,3.0,2.0,1.0,1.0,5.0,,,,1.0,1.0,3.0,,9.0,1.0,,2.0,735.67,1.2917
519,3,32.0,3.0,6.0,5.0,6.0,4.0,3.0,9.0,4.0,6.0,6.0,4.0,4.0,4.0,4.0,,6.0,3.0,4.0,4.0,4.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,80.0,6.0,,,,3.0,,5.0,,4.0,3.0,4.0,30.0,2.0,,5.0,,3.0,,3.0,,4.0,3.0,4.0,,2,31,1.0,2.0,5.0,1.0,2.0,,,,,,1.0,2.0,4.0,,3.0,1.0,,1.0,226.59,0.3978
520,2,6.0,8.0,5.0,5.0,6.0,2.0,3.0,4.0,1.0,5.0,5.0,4.0,5.0,4.0,3.0,,5.0,1.0,2.0,1.0,2.0,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,100.0,3.0,,,,1.0,,2.0,,5.0,3.0,2.0,30.0,3.0,,1.0,,2.0,,1.0,,2.0,2.0,3.0,,1,41,2.0,3.0,5.0,1.0,1.0,3.0,2.0,3.0,,,1.0,1.0,3.0,,9.0,1.0,,1.0,499.88,0.8777
521,1,5.0,2.0,3.0,3.0,3.0,,,,5.0,3.0,3.0,3.0,3.0,4.0,6.0,,3.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,8.0,,1.0,,4.0,3.0,3.0,20.0,2.0,,2.0,,5.0,,1.0,,2.0,2.0,6.0,지역화폐 활성화 및 공공화장실 개선,2,31,1.0,3.0,3.0,3.0,2.0,,,,,,1.0,1.0,3.0,,8.0,1.0,,1.0,198.29,0.3482
522,2,6.0,6.0,7.0,6.0,6.0,1.0,3.0,5.0,1.0,6.0,7.0,6.0,7.0,6.0,3.0,,7.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,3.0,,4.0,,3.0,2.0,,,3.0,,2.0,,1.0,,2.0,,2.0,2.0,3.0,,1,70,2.0,4.0,2.0,2.0,2.0,,,,,,1.0,1.0,2.0,,7.0,3.0,,2.0,1824.15,3.2028
523,2,8.0,8.0,7.0,6.0,5.0,3.0,4.0,6.0,3.0,5.0,6.0,6.0,6.0,7.0,3.0,,5.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,3.0,,3.0,2.0,,,3.0,,1.0,,2.0,,3.0,,1.0,2.0,1.0,,1,52,2.0,3.0,3.0,2.0,1.0,1.0,3.0,,,,1.0,1.0,2.0,,5.0,1.0,,2.0,681.48,1.1965
524,4,8.0,2.0,5.0,5.0,5.0,1.0,8.0,7.0,4.0,4.0,4.0,3.0,4.0,5.0,2.0,,5.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,,4.0,1.0,3.0,70.0,3.0,,2.0,,1.0,,1.0,,1.0,2.0,6.0,,2,41,2.0,3.0,4.0,1.0,1.0,2.0,3.0,,,,1.0,1.0,3.0,,9.0,1.0,,1.0,367.24,0.6448
525,1,10.0,0.0,6.0,7.0,6.0,2.0,5.0,7.0,1.0,6.0,6.0,6.0,6.0,5.0,3.0,,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,4.0,,3.0,2.0,,,3.0,,2.0,,2.0,,2.0,,2.0,2.0,1.0,,1,22,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,3.0,2.0,,4.0,1.0,,1.0,1282.44,2.2517
526,1,20.0,9.0,6.0,6.0,6.0,2.0,4.0,3.0,1.0,6.0,6.0,6.0,6.0,6.0,4.0,,6.0,1.0,2.0,1.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,50.0,3.0,,,,6.0,,10.0,,1.0,1.0,5.0,50.0,2.0,,1.0,,2.0,,1.0,,1.0,1.0,1.0,,1,58,2.0,4.0,4.0,1.0,1.0,2.0,7.0,,,,2.0,,1.0,,7.0,1.0,,1.0,1022.33,1.795
527,2,5.0,8.0,5.0,5.0,5.0,3.0,5.0,7.0,2.0,5.0,5.0,5.0,5.0,5.0,3.0,,4.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,4.0,,8.0,,3.0,2.0,,,2.0,,2.0,,2.0,,2.0,,1.0,1.0,3.0,,1,27,1.0,3.0,1.0,3.0,2.0,,,,,,1.0,2.0,4.0,,4.0,3.0,,2.0,757.4,1.3298
528,2,10.0,6.0,5.0,6.0,5.0,3.0,6.0,2.0,1.0,5.0,6.0,5.0,6.0,5.0,8.0,,5.0,1.0,2.0,1.0,2.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,70.0,2.0,,,,2.0,,3.0,,5.0,3.0,3.0,20.0,3.0,,2.0,,2.0,,4.0,,2.0,2.0,6.0,"규제 해소보다는 안전강화 규제를 정비하는것이 필요. 교통사고, 보행자사고가 많은 도로 및 공유킥보드/자전거에 대한 규제가 필요함",2,32,1.0,3.0,4.0,2.0,2.0,,,,,,1.0,1.0,3.0,,8.0,1.0,,1.0,142.72,0.2506
529,2,4.0,5.0,3.0,5.0,4.0,,,,5.0,4.0,5.0,5.0,3.0,3.0,7.0,,4.0,5.0,1.0,1.0,2.0,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,50.0,1.0,,,,4.0,,6.0,,4.0,2.0,,,3.0,,2.0,,1.0,,3.0,,1.0,1.0,5.0,,2,36,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,2.0,,3.0,,4.0,1.0,,1.0,175.68,0.3085
530,2,10.0,8.0,5.0,5.0,4.0,,,,3.0,3.0,3.0,2.0,4.0,3.0,4.0,,3.0,3.0,2.0,1.0,2.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,29.0,3.0,,,,4.0,,6.0,,5.0,1.0,3.0,50.0,1.0,,1.0,,1.0,,1.0,,1.0,2.0,3.0,,1,35,1.0,1.0,2.0,3.0,2.0,,,,,,1.0,1.0,3.0,,6.0,1.0,,1.0,233.75,0.4104
531,2,10.0,3.0,6.0,6.0,5.0,1.0,4.0,3.0,1.0,6.0,3.0,6.0,5.0,6.0,3.0,,6.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,5.0,,2.0,,4.0,3.0,3.0,30.0,5.0,,4.0,,2.0,,6.0,,5.0,2.0,2.0,없음,2,20,2.0,3.0,3.0,2.0,1.0,0.0,7.0,,,,1.0,1.0,4.0,,3.0,3.0,,1.0,440.24,0.773
532,4,30.0,2.0,4.0,4.0,4.0,,,,5.0,4.0,4.0,4.0,4.0,4.0,9.0,,4.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,9.0,,4.0,2.0,,,3.0,,3.0,,1.0,,5.0,,3.0,3.0,6.0,,1,31,1.0,3.0,4.0,3.0,2.0,,,,,,1.0,1.0,2.0,,9.0,1.0,,1.0,952.94,1.6732
